filename,avg_motion
Qt-8ZjX8dt4-0:15:26.625-0:15:28.961.mp4,22.698996
RhKdDkNlG5s-0:04:19.425-0:04:25.932.mp4,22.853619
ABdsgP1ZYfM-0:01:10.111-0:01:14.449.mp4,23.036125
8BImLhnLh7o-0:01:25.766-0:01:30.033.mp4,23.353703
70TqQHNtflI-0:08:03.733-0:08:07.733.mp4,23.359528
LPxUR09d8YA-0:00:57.257-0:01:00.193.mp4,23.774977
CUbx9EmOMWo-0:04:26.532-0:05:14.580.mp4,24.039267
FqSZ5MjnbZg-0:01:50.360-0:01:57.742.mp4,24.183268
91HSzZaVGa4-0:01:54.066-0:02:13.133.mp4,24.548548
FLqUWrABYTg-0:01:02.437-0:01:06.232.mp4,24.671045
FcWB2wfuQBc-0:07:15.566-0:07:19.566.mp4,24.887127
MEOgDFOHvRI-0:04:38.378-0:04:42.415.mp4,25.329767
JMjR401AN9A-0:01:15.375-0:01:18.812.mp4,25.361643
BVXBP61OE5o-0:01:34.720-0:01:39.560.mp4,25.701891
TmF8Gge1RLU-0:53:36.920-0:53:42.040.mp4,26.012407
Ua26WOdChyk-0:00:48.148-0:01:00.126.mp4,26.211033
7U6jiF5E6oU-0:08:09.589-0:08:13.626.mp4,26.476160
AdU5ZzwrwpM-0:01:13.673-0:01:21.648.mp4,26.577564
D6RGG6tur5s-0:03:14.894-0:03:20.099.mp4,26.622772
DkIWktzsSzA-0:02:54.360-0:03:00.680.mp4,27.568861
FAUA1tMYdrE-0:00:28.570-0:00:31.072.mp4,28.100872
9gQjvBJJ_kk-0:00:26.826-0:00:42.776.mp4,28.161386
FEL1mtsTJPk-0:07:01.037-0:07:17.136.mp4,28.419489
J4zi-rLa5Fg-0:12:06.120-0:12:12.480.mp4,28.664534
OujsoGMEjF4-0:11:07.600-0:11:16.840.mp4,28.701014
EerjLMeAjds-0:08:43.789-0:09:15.588.mp4,28.973881
EslZSBMhetY-0:11:48.841-0:12:34.203.mp4,29.004477
6nAR0WGYUsA-0:15:55.671-0:16:00.075.mp4,29.254707
JMEQLgD8-30-0:02:12.632-0:02:15.385.mp4,29.315931
N7M6-gL9Zeg-0:02:08.200-0:02:24.200.mp4,29.488411
5qgH-DndsdQ-0:00:14.933-0:00:18.066.mp4,29.923185
MV_RYK0kjww-0:03:24.470-0:03:27.173.mp4,31.095280
GXHt0uFtr-g-0:08:38.117-0:08:41.420.mp4,31.117744
U43g0ojSAWk-0:00:22.989-0:00:54.120.mp4,31.758375
66LFXgYZqEs-0:00:11.111-0:00:25.892.mp4,33.006256
R-J2Dl1c6K8-0:02:40.640-0:02:45.480.mp4,33.086056
HaKX_pz3C-w-0:01:41.801-0:01:46.239.mp4,33.128704
N5--8MNDhcY-0:00:00.333-0:00:03.003.mp4,33.386871
Ns5AQuGXpWE-0:04:59.732-0:05:19.652.mp4,34.363571
CujjAFIW3hQ-0:04:19.066-0:04:22.866.mp4,35.008648
Iq9XsCdACng-0:22:03.021-0:22:15.267.mp4,35.783710
